User,20140101,20140102,20140103,20140104,20140105,20140106,20140107,20140108,20140109,20140110,20140111,20140112,20140113,20140114,20140115,20140116,20140117,20140118,20140119,20140120,20140121,20140122,20140123,20140124
988,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
aa9425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0
acl5133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.01,0.00,0,0
adg2351,0,0,0,0,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0.04,0.01,0,0
asm3526,0.00,3613.13,685.96,0.02,45.92,181.95,0.08,0.02,1.27,0,0,0,1119.61,112.60,0,0.00,0.14,0.00,0,0,0.01,0.22,0.00,62.19
asmnano,0,0,0.02,4.05,0,0,0.49,0,0,0,0,0,630.63,1204.90,1201.34,919.24,735.10,1238.38,1278.39,1287.25,1714.11,1304.09,1506.20,700.39
aweits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0
axm9958,0,0,0,0,17.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cdt5069,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.02,0.08,0.01,0,0,0,0,0.02,0.02,0
cjg9411,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cxj3070,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,1.28,0,0,0,0,0,0
dbus,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
dxv2686,0,0,0.09,0,0.01,0,0.79,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
ecngsm,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0
epfeqa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0
Everyone,0.08,3613.37,686.29,12.98,63.15,182.09,8007.65,27.19,829.89,781.99,1703.67,1320.05,2916.30,2775.54,5898.62,4094.88,764.08,1768.23,3649.06,1287.29,1715.96,1320.88,1506.94,763.30
gskpop,0,0.12,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gw3715,0,0,0,0,0,0,0,0,0,757.86,1565.03,1319.98,1165.99,1457.14,467.79,2085.55,25.80,246.57,2127.19,0,0,16.36,0,0
lpd5259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,0,1.68,0,0,0,0,0,0,0
luvmet,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mmkeme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.01,0,0,0,0,0,0
mspsps,0,0,0,0,0,0,40.34,0,0.24,3.74,138.56,0,0,0,0.00,0,0,0,0,0,0,0,0,0
mxc7441,0,0,0,0,0,0,0.01,27.11,3.27,1.01,0.01,0,0,0.43,641.58,103.92,1.24,10.27,0,0,1.63,0.10,0.02,0
nxs6802,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.08,0,0.13,0
oaw5848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0
pfmeec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0
prl2760,0,0,0,0,0,0,0.49,0,0,0,0,0.01,0,0,3583.63,985.97,0,271.32,243.37,0,0,0.01,0,0
rmk8445,0,0,0,0,0,0,66.57,0,1.62,19.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root,0.08,0.10,0.10,1.07,0.13,0.13,0.16,0.04,2.88,0.10,0.06,0.06,0.06,0.13,0.08,0.08,0.06,0.27,0.11,0.04,0.08,0.06,0.10,0.04
rpmeie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
smmsp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
sshd,0.00,0.02,0.01,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01
sxp1899,0,0,0,7.82,0,0.02,7897.13,0,820.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sxs5464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67
xl9206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0.14,0.00
